康小姐	0
寮步镇	1
莞樟路	2
石井	3
附近	4
嘉湖山庄	5
小区	6
连续	7
半夜	8
停电	9
已有	10
居民	11
咨询	12
供电公司	13
电路	14
正常	15
管理处	16
工作人员	17
线路	18
借口	19
推托	20
许小姐	21
来电反映	22
汽车东站	23
最近	24
一周	25
都	26
从	27
凌晨	28
3点	29
早上	30
8点	31
昨晚	32
来电	33
没	34
通电	35
致电	36
答复	37
说	38
该	39
故意	40
其	41
于	42
3-25日	43
广东健客医药有限公司	44
网站	45
上	46
购买	47
了	48
3盒	49
陈老师泄油瘦身汤	50
共	51
398元	52
胖大夫荷香茶	53
发现	54
货物	55
即时	56
与	57
客服	58
联系	59
表示	60
并未	61
健客网	62
进行	63
销售	64
要求	65
退货	66
退款	67
订购	68
两个	69
周期	70
陈老师泄油汤	71
肚子痛	72
无法	73
排便	74
陈医生泄油瘦身汤	75
货不对板	76
东城	77
峡口榴花车站	78
出租车	79
石排	80
车牌	81
粤SYL343	82
司机	83
不	84
打表	85
拒载	86
还想	87
打人	88
葛先生	89
东莞汽车北站	90
搭乘	91
粤S97592	92
大客车	93
广州	94
当时	95
向	96
每人	97
收取	98
50元	99
车费	100
没有	101
给予	102
车票	103
客车	104
途经	105
南城汽车站	106
车辆故障	107
为由	108
驱赶	109
全车	110
乘客	111
下车	112
下车后	113
安排	114
其他	115
车辆	116
载运	117
不肯	118
退还	119
对	120
任何	121
处理	122
投诉	123
不按	124
规定	125
使用	126
票证	127
常平东田丽园	128
欲	129
乘坐	130
粤SM047C	131
去往	132
桥头	133
广隆百货	134
询问	135
是否	136
回答	137
价钱	138
为	139
60元	140
只	141
愿意	142
支付	143
答应	144
提出	145
要去	146
地方	147
接客	148
赶时间	149
拒绝	150
见此	151
又	152
不去	153
客人	154
于是	155
上了车	156
自	157
上车	158
后	159
一直	160
用	161
粤语	162
辱骂	163
感到	164
很	165
愤怒	166
退钱	167
得	168
更	169
厉害	170
开始	171
飙车	172
19:20	173
左右	174
把	175
放到	176
接近	177
黄江	178
一处	179
偏僻	180
万江广场	181
粤SG747H	182
东城计生中心	183
30元	184
东城中心	185
粤SM643M	186
主山高田坊芳桂园	187
平时	188
行驶	189
路线	190
是	191
中路	192
今天	193
东城大道	194
东纵大道	195
温南路	196
此	197
车	198
到了	199
温南路口车费	200
16元	201
认为	202
绕路	203
虎门	204
百佳商场	205
楼下	206
电子城	207
粤SLE857	208
需要	209
20元	210
